field_1,address,categories,city,lat,lng,name,COMMUNITY,AREA_NUM_1
"0",2130 N Milwaukee Ave,Bike Shop,Chicago,41.9198669,-87.6926087,The Bike Lane,LOGAN SQUARE,"22"
"1",2769 N Milwaukee Ave,Bike Shop,Chicago,41.93157,-87.71118,Boulevard Bikes,LOGAN SQUARE,"22"
"2",2056 N Damen Ave,Bike Shop,Chicago,41.91936,-87.67778,BFF Bikes,LOGAN SQUARE,"22"
"3",3031 W Armitage Ave,Bike Shop,Chicago,41.9174841835934,-87.7036918157019,Smart Bike Parts Inc,LOGAN SQUARE,"22"
"4",2959 N Lincoln Avenue,Coffee Shop,Chicago,41.93576,-87.66283,Heritage Bicycles,LAKE VIEW,"6"
"5",1514 N Milwaukee Ave,Bike Shop,Chicago,41.9088787084725,-87.675501078703,Rapha,WEST TOWN,"24"
"6",2016 W Roscoe St,Bike Shop,Chicago,41.943234687648,-87.6792397007263,Roscoe Village Bikes,NORTH CENTER,"5"
"7",1908 W Chicago Ave,Bike Shop,Chicago,41.8960323481055,-87.6750345341643,Comrade Cycles,WEST TOWN,"24"
"8",2068 N Western Ave,Bike Shop,Chicago,41.9196918083176,-87.6875666825859,MOPED,LOGAN SQUARE,"22"
"9",2459 W Division St,Bike Shop,Chicago,41.9029467965808,-87.6893485071282,Ciclo Urbano,WEST TOWN,"24"
"10",3144 N Lincoln Ave,Bike Shop,Chicago,41.9388111025728,-87.6676277617074,On the Route Bicycles,LAKE VIEW,"6"
"11",3939 N Ashland Ave,Bike Shop,Chicago,41.9536329079178,-87.6687634017545,Play It Again Sports,LAKE VIEW,"6"
"12",3255 N Milwaukee Ave,Bike Shop,Chicago,41.9402035824992,-87.725555496839,Kozy's Cyclery,AVONDALE,"21"
"14",1803 N California Ave,Bike Shop,Chicago,41.914021,-87.696752,BlackCat1,LOGAN SQUARE,"22"
"15",2634 W Fullerton Ave,Bike Shop,Chicago,41.925159,-87.694095,Oscar Wastyn Cycles,LOGAN SQUARE,"22"
"16",3603 W Armitage Ave,Bike Shop,Chicago,41.9169540405273,-87.7169342041016,Bike 4 Life,LOGAN SQUARE,"22"
"17",3601 W Armitage Ave,Bike Shop,Chicago,41.917037,-87.716973,Armitage Bike Shop,LOGAN SQUARE,"22"
"18",3101 W Diversey Ave,Bike Shop,Chicago,41.9318580627441,-87.7051391601563,Four Star Family Cyclery,LOGAN SQUARE,"22"
"19",1873 N Milwaukee Ave,Bike Shop,Chicago,41.9156555,-87.6852186,Earth Rider,LOGAN SQUARE,"22"
"20",2140 W North Ave,Bike Shop,Chicago,41.910683,-87.681258,Fast Lane Cyclery,WEST TOWN,"24"
"21",1647 N Milwaukee Ave,Bike Shop,Chicago,41.91151,-87.67875,Trek Bicycle Chicago Wicker Park,WEST TOWN,"24"
"22",3110 N Damen Ave,Bike Shop,Chicago,41.93812,-87.678613,Kevin Thornton Bikes,NORTH CENTER,"5"
"23",2701 W Chicago Ave,Bike Shop,Chicago,41.895388,-87.694443,Chewie's Motorbikes,WEST TOWN,"24"
"24",2425 N Ashland Ave,Bike Shop,Chicago,41.925923,-87.667882,Big City Bikes,LINCOLN PARK,"7"
"25",1375 N Milwaukee Ave,Bike Shop,Chicago,41.9069282309314,-87.6718600830535,Copenhagen Cyclery,WEST TOWN,"24"
"26",1375 N Milwaukee Ave,Bike Shop,Chicago,41.9069328308106,-87.6718444824219,Iron Cycles Bike Shop,WEST TOWN,"24"
"27",3625 N Western Ave,Bike Shop,Chicago,41.94745,-87.687881,Champion Cycle,NORTH CENTER,"5"
"28",3819 N Kedzie Ave,Bike Shop,Chicago,41.951019,-87.707646,Roman Custom Cycles,IRVING PARK,"16"
"29",1142 N Ashland Ave,Bike Shop,Chicago,41.902776,-87.667848,VeloDramatic,WEST TOWN,"24"
"30",3914 N Lincoln Ave,Bike Shop,Chicago,41.95273402,-87.6780405,Chicago Bicycle Company,NORTH CENTER,"5"
"31",4075 N Elston Ave,Bike Shop,Chicago,41.95533,-87.721092,Phixx 606 Cycles,IRVING PARK,"16"
"32",2868 N Lincoln Ave,Café,Chicago,41.93403,-87.6609,Heritage Littles,LAKE VIEW,"6"
"33",2130 N Halsted St,Bike Shop,Chicago,41.920943,-87.648889,Rapha Pop Up Shop - Chicago,LINCOLN PARK,"7"
"34",2104 N Halsted St,Bike Shop,Chicago,41.920188,-87.648684,Specialized Bikes,LINCOLN PARK,"7"
"35",800 W Altgeld St,Bike Shop,Chicago,41.9274406433105,-87.6489715576172,Alt-Cycle Shop,LINCOLN PARK,"7"
"36",5711 W Irving Park Rd,Bike Shop,Chicago,41.952867,-87.769971,Rudy's Schwinn Cycle & Fitness,PORTAGE PARK,"15"
"38",4359 W Irving Park Rd,Bike Shop,Chicago,41.9534195814084,-87.7376780664267,Get a Grip Cycles,IRVING PARK,"16"
"39",7160 W Grand Ave,Bike Shop,Chicago,41.924058,-87.804749,Grand Cycle,MONTCLARE,"18"
"50",688 N Milwaukee Ave,Bike Shop,Chicago,41.8939980496464,-87.652118295383,Ancien Bicycle,WEST TOWN,"24"
"51",1337 N Wells St,Bike Shop,Chicago,41.9068046,-87.6341891,Village Cycle Center,NEAR NORTH SIDE,"8"
"52",2468 1/2 N Clark St,Bike Shop,Chicago,41.9274011216527,-87.6416194923607,Cycle Smithy,LINCOLN PARK,"7"
"53",219 W Erie St,Bike Shop,Chicago,41.8938231584229,-87.6346915357229,Kozy's Cyclery,NEAR NORTH SIDE,"8"
"54",1725 S Racine Ave,Bike Shop,Chicago,41.8579775310276,-87.6563588616615,Irv's Bike Shop,LOWER WEST SIDE,"31"
"55",738 W Randolph St,Bike Shop,Chicago,41.884471,-87.647349,MOX,NEAR WEST SIDE,"28"
"56",1130 W Chicago Ave,Bike Shop,Chicago,41.8963430424087,-87.6562149532144,Upgrade Cycle Works,WEST TOWN,"24"
"57",1138 W Randolph St,Bike Shop,Chicago,41.884549,-87.656194,Method Handcrafted Bicycles,NEAR WEST SIDE,"28"
"58",1311 N. Wells,Bike Shop,Chicago,41.9061738000123,-87.6346443485487,J. C. Lind Bike Co,NEAR NORTH SIDE,"8"
"59",621 W Fulton St,Bike Shop,Chicago,41.8865013122559,-87.6433868408203,Peregrine Bicycle Studio,NEAR WEST SIDE,"28"
"60",316 N. Wabash Ave.,Bike Shop,Chicago,41.8888872102871,-87.6269988648558,Bike And Roll Riverwalk Station 2,NEAR NORTH SIDE,"8"
"61",520 N Michigan Ave,Bike Shop,Chicago,41.8915257,-87.6248853,Peloton,NEAR NORTH SIDE,"8"
"62",1600 North Lakeshore Drive,Bike Shop,Chicago,41.9133449281066,-87.624251322679,Lakeshore Bike,LINCOLN PARK,"7"
"63",W North Ave.,Bike Shop,Chicago,41.9135623151479,-87.6240717009357,Bike And Roll,LINCOLN PARK,"7"
"64",1518 W 18th St,Bike Shop,Chicago,41.858063,-87.664557,Wheel of Time Bikes & Boards,LOWER WEST SIDE,"31"
"66",540 N Lake Shore Dr,Bike Shop,Chicago,41.8925540144384,-87.6151845458915,Bobby's Bike Hike,NEAR NORTH SIDE,"8"
"67",1465 S Michigan Ave,Bike Shop,Chicago,41.862319207705,-87.6239635999117,Cycle Bicycle Shop Inc.,NEAR SOUTH SIDE,"33"
"68",728 S Dearborn St,Bike Shop,Chicago,41.8687985465129,-87.6241307077249,On The Route Bicycles,LOOP,"32"
"69",728 S Dearborn St,Bike Shop,Chicago,41.87281183,-87.62940576,Chicago Bicycle Company,LOOP,"32"
"70",,Bike Shop,Chicago,41.927566,-87.630632,Heritage Bicycles - Rv On The Lake,LINCOLN PARK,"7"
"71",6519 W Archer Ave,Bike Shop,Chicago,41.792031,-87.785077,Carmen's Bicycles,GARFIELD RIDGE,"56"
"72",2434 S Western Ave,Bike Shop,Chicago,41.8474246219586,-87.6857424074232,Working Bikes,LOWER WEST SIDE,"31"
"74",3201 S Halsted St,Bike Shop,Chicago,41.836194456573,-87.6460652235206,Blue City Cycles,BRIDGEPORT,"60"
"77",2540 S Wabash Ave,Bike Shop,Chicago,41.84611,-87.625788,Kozy's Cyclery,NEAR SOUTH SIDE,"33"
"79",9121 S Western Ave,Bike Shop,Chicago,41.7275694584033,-87.6819708844499,Beverly Bike Shop,BEVERLY,"72"
"82",10355 S Kedzie Ave,Bike Shop,Chicago,41.70452,-87.700926,Chicagoland Bicycle,MOUNT GREENWOOD,"74"
"83",,Bike Shop,Chicago,41.7651192909244,-87.6442895313944,John's Hardware,ENGLEWOOD,"68"
"84",1048 W 37th St,Bike Shop,Chicago,41.827195,-87.652906,Legacy Frameworks,BRIDGEPORT,"60"
"86",107TH STREET,Bike Shop,Chicago,41.7000567913055,-87.6710164546967,BEVERLY BICYCLING CLASSIC,BEVERLY,"72"
"87",4509 S Michigan Ave,Bike Shop,Chicago,41.812725,-87.622517,ChicBikeParts,GRAND BOULEVARD,"38"
"89",3352S S Indiana Ave,Bike Shop,Chicago,41.8330714241648,-87.6221473,ChicNewBikeParts,DOUGLAS,"35"
"90",6100 S Blackstone Ave,Bike Shop,Chicago,41.7840110652677,-87.5904357659003,Blackstone Bicycle Works,WOODLAWN,"42"
"91",1558 E 53rd St,Bike Shop,Chicago,41.799647106048,-87.5873313882204,Ancien Cycles,HYDE PARK,"41"
"92",,Bike Shop,Chicago,41.80226,-87.61803,Bronzeville Bike Box,GRAND BOULEVARD,"38"
"93",1451 E 57th St,Bike Shop,Chicago,41.791354,-87.589401,Tamago Coffee & Bikes,HYDE PARK,"41"
"94",1500 E 55th St,Bike Shop,Chicago,41.7956695556641,-87.58837890625,DJ's Bike Doctor,HYDE PARK,"41"
"95",4250 S Cottage Grove Ave,Bike Shop,Chicago,41.817263,-87.607125,Small Shop,GRAND BOULEVARD,"38"
"96",2221 E 71st St,Bike Shop,Chicago,41.766003,-87.57055,Bike Clinic,SOUTH SHORE,"43"
"97",1558 E 53rd St,Bike Shop,Chicago,41.799503326416,-87.5870361328125,53rd Street Bike Center,HYDE PARK,"41"
"98",4710 N Damen Ave,Bike Shop,Chicago,41.9673158996394,-87.6791712355159,Turin Bicycle,LINCOLN SQUARE,"4"
"99",4653 N Broadway St,Bike Shop,Chicago,41.9668460787164,-87.6583397566944,Uptown Bikes,UPTOWN,"3"
"101",1656 W Farwell Ave Apt 3F,Bike Shop,Chicago,42.0069236755371,-87.6721954345703,Snyder Cycling Services,ROGERS PARK,"1"
"102",7054 N Clark St,Bike Shop,Chicago,42.010544,-87.674514,Roberts Cycle,ROGERS PARK,"1"
"103",6317 N Clark St,Bike Shop,Chicago,41.996985,-87.669957,Gary's Cycle Shop,EDGEWATER,"77"
"105",7628 N Paulina St,Bike Shop,Chicago,42.020327,-87.673343,The Recyclery,ROGERS PARK,"1"
"106",N. Clark,Bike Shop,Chicago,41.9970137179552,-87.6703288231275,Gary's Bike Shop,EDGEWATER,"77"
"107",6868 N Western Ave,Bike Shop,Chicago,42.006586,-87.690488,Chicago Harley-Davidson,WEST RIDGE,"2"
"109",5434 N Clark St,Bike Shop,Chicago,41.9808177389149,-87.6683925883565,johnny sprockets,EDGEWATER,"77"
"110",5600 N Western Ave,Bike Shop,Chicago,41.983366,-87.689805,Shining Bikes and Things,WEST RIDGE,"2"
"115",5515 N Christiana Ave,Bike Shop,Chicago,41.981684,-87.712144,ben's vintage bikes,NORTH PARK,"13"
"116",2338 W Lawrence Ave,Bike Shop,Chicago,41.96865044737,-87.6882074564735,On The Route Bikes,LINCOLN SQUARE,"4"
"118",4749 N Kedzie Ave,Bike Shop,Chicago,41.9674797058106,-87.7083129882812,Bikes N' Roses,ALBANY PARK,"14"
"120",4540 N Western Ave,Bike Shop,Chicago,41.964357,-87.68913,Marya Baca,LINCOLN SQUARE,"4"
"121",3140 W Montrose Ave,Bike Shop,Chicago,41.9613400717825,-87.7074771018032,Tailwind Cycles,ALBANY PARK,"14"
"126",1634 W Montrose Ave,Bike Shop,Chicago,41.9617239425477,-87.6705551147461,Green Machine Cycles,UPTOWN,"3"
"127",4075 N Broadway St,Bike Shop,Chicago,41.956718,-87.651645,Nearly New Bike Shop,UPTOWN,"3"
"128",3650 Recreation Dr,Bike Shop,Chicago,41.9506089961764,-87.6433223887303,Lakeshore Bike,LAKE VIEW,"6"
"129",3712 N Halsted St,Bike Shop,Chicago,41.9496320619609,-87.6497041782335,Kozy's Cyclery,LAKE VIEW,"6"
"130",3001 N Broadway St,Bike Shop,Chicago,41.9367226956339,-87.6442824866664,Johnny Sprockets,LAKE VIEW,"6"
"131",3826 N Broadway St,Bike Shop,Chicago,41.952213,-87.649926,A Nearly New Shop,LAKE VIEW,"6"
"132",3826 N Broadway St,Bike Shop,Chicago,41.9522094726563,-87.6498565673828,Ole Skool Recycled Bikes,LAKE VIEW,"6"
"133",6450 N Central Ave,Bike Shop,Chicago,41.998863,-87.763567,Edgebrook Cycle & Sports,FOREST GLEN,"12"
"134",6126 N Northwest Hwy,Bike Shop,Chicago,41.9928619468962,-87.7999448776245,Fratelli Bikes,NORWOOD PARK,"10"
"135",6320 N Milwaukee Ave,Bike Shop,Chicago,41.995374,-87.786428,City Scooters,NORWOOD PARK,"10"
"139",2959 N Lincoln Avenue,Bike Shop,Chicago,41.93576,-87.66283,Heritage Bicycles,LAKE VIEW,"6"
"140",4641 North Milwaukee Avenue,Bike Shop,Chicago,41.965184,-87.757967,Cosmic Bikes Inc.,PORTAGE PARK,"15"
"142",3640 W Lawrence Ave,Bike Shop,Chicago,41.968588,-87.719909,Lawrence Avenue Bikes,ALBANY PARK,"14"
"143",,Bike Shop,Chicago,41.957596,-87.72469,DS Bicycles,IRVING PARK,"16"
